Open,High,Low,Close,Inflation,country,data_coverage_previous_12_months_food,total_food_price_increase_since_start_date,maximum_food_drawdown,average_monthly_food_price_correlation_between_markets,average_annual_food_price_correlation_between_markets,month,inflation_velocity,rolling_avg_3m,lag_1,lag_2,lag_3,FCAI,crisis_next_3m,inflation_sq,price_spread,close_open_ratio,inflation_volatility,lag_diff,price_vs_rolling,fcai_inflation,month_sin,month_cos,inflation_vel_sq,vulnerability_cluster
0.83,0.84,0.82,0.82,-10.58,0,74.93,167.97,-40.67,0.62,0.87,4,-16.240000000000002,5.63,5.66,21.81,35.91,-9.036,0,111.9364,0.020000000000000018,0.9879518072289156,-83.8994,-16.15,-4.81,95.60087999999999,0.8660254037844387,-0.4999999999999998,263.73760000000004,0
0.79,0.81,0.78,0.81,-20.73,0,74.93,167.97,-40.67,0.62,0.87,5,-10.15,-8.55,-10.58,5.66,21.81,-15.12,0,429.73290000000003,0.030000000000000027,1.0253164556962024,-164.3889,-16.240000000000002,9.360000000000001,313.4376,0.49999999999999994,-0.8660254037844387,103.02250000000001,0
0.79,0.81,0.78,0.8,-27.36,0,74.93,167.97,-40.67,0.62,0.87,6,-6.629999999999999,-19.55666666666667,-20.73,-10.58,5.66,-19.58033333333333,0,748.5695999999999,0.030000000000000027,1.0126582278481013,-216.9648,-10.15,20.35666666666667,535.7179199999998,1.2246467991473532e-16,-1.0,43.95689999999999,0
0.81,0.82,0.79,0.8,-31.06,0,74.93,167.97,-40.67,0.62,0.87,7,-3.6999999999999993,-26.383333333333336,-27.36,-20.73,-10.58,-21.916666666666668,0,964.7235999999999,0.029999999999999916,0.9876543209876543,-246.30579999999998,-6.629999999999999,27.183333333333337,680.7316666666667,-0.4999999999999997,-0.8660254037844388,13.689999999999994,0
0.79,0.8,0.78,0.8,-31.37,0,74.93,167.97,-40.67,0.62,0.87,8,-0.3100000000000023,-29.93,-31.06,-27.36,-20.73,-21.764,0,984.0769,0.020000000000000018,1.0126582278481013,-248.76409999999998,-3.6999999999999993,30.73,682.73668,-0.8660254037844384,-0.5000000000000004,0.0961000000000014,0
0.81,0.82,0.8,0.81,-30.6,0,74.93,167.97,-40.67,0.62,0.87,9,0.7699999999999996,-31.01,-31.37,-31.06,-27.36,-21.271,0,936.3600000000001,0.019999999999999907,1.0,-242.65800000000002,-0.3100000000000023,31.82,650.8926,-1.0,-1.8369701987210297e-16,0.5928999999999993,0
0.82,0.83,0.81,0.81,-28.85,0,74.93,167.97,-40.67,0.62,0.87,10,1.75,-30.27333333333333,-30.6,-31.37,-31.06,-19.954666666666668,0,832.3225000000001,0.019999999999999907,0.9878048780487806,-228.7805,0.7699999999999996,31.08333333333333,575.6921333333335,-0.8660254037844386,0.5000000000000001,3.0625,0
0.8,0.81,0.79,0.79,-28.27,0,74.93,167.97,-40.67,0.62,0.87,11,0.5800000000000018,-29.24,-28.85,-30.6,-31.37,-19.809,0,799.1929,0.020000000000000018,0.9875,-224.1811,1.75,30.029999999999998,560.00043,-0.5000000000000004,0.8660254037844384,0.33640000000000214,0
0.77,0.78,0.75,0.75,-28.27,0,74.93,167.97,-40.67,0.62,0.87,12,0.0,-28.46333333333333,-28.27,-28.85,-30.6,-19.827666666666666,0,799.1929,0.030000000000000027,0.974025974025974,-224.1811,0.5800000000000018,29.21333333333333,560.5281366666667,-2.4492935982947064e-16,1.0,0.0,0
0.73,0.74,0.72,0.72,-29.43,0,74.93,167.97,-40.67,0.62,0.87,1,-1.16,-28.656666666666663,-28.27,-28.27,-28.85,-20.79433333333333,0,866.1249,0.020000000000000018,0.9863013698630136,-233.3799,0.0,29.37666666666666,611.97723,0.49999999999999994,0.8660254037844387,1.3456,0
0.7,0.71,0.69,0.71,-24.68,0,74.93,167.97,-40.67,0.62,0.87,2,4.75,-27.46,-29.43,-28.27,-28.27,-16.407,0,609.1024,0.020000000000000018,1.0142857142857142,-195.7124,-1.1600000000000001,28.17,404.92476,0.8660254037844386,0.5000000000000001,22.5625,0
0.7,0.71,0.69,0.71,-18.44,0,74.93,167.97,-40.67,0.62,0.87,3,6.239999999999998,-24.183333333333334,-24.68,-29.43,-28.27,-12.184666666666669,0,340.03360000000004,0.020000000000000018,1.0142857142857142,-146.2292,4.75,24.893333333333334,224.68525333333338,1.0,6.123233995736766e-17,38.93759999999998,0
0.7,0.71,0.7,0.7,-15.02,0,74.93,167.97,-40.67,0.62,0.87,4,3.4200000000000017,-19.38,-18.44,-24.68,-29.43,-10.36,0,225.60039999999998,0.010000000000000009,1.0,-119.1086,6.239999999999998,20.08,155.60719999999998,0.8660254037844387,-0.4999999999999998,11.696400000000011,0
0.69,0.7,0.68,0.7,-13.43,0,74.93,167.97,-40.67,0.62,0.87,5,1.59,-15.63,-15.02,-18.44,-24.68,-9.364,0,180.3649,0.019999999999999907,1.0144927536231885,-106.4999,3.4200000000000017,16.330000000000002,125.75852,0.49999999999999994,-0.8660254037844387,2.5281000000000002,0
0.7,0.71,0.69,0.71,-12.04,0,74.93,167.97,-40.67,0.62,0.87,6,1.3900000000000006,-13.496666666666664,-13.43,-15.02,-18.44,-8.302333333333333,0,144.96159999999998,0.020000000000000018,1.0142857142857142,-95.4772,1.5899999999999999,14.206666666666663,99.96009333333333,1.2246467991473532e-16,-1.0,1.9321000000000015,0
0.72,0.72,0.71,0.72,-10.26,0,74.93,167.97,-40.67,0.62,0.87,7,1.7799999999999994,-11.909999999999998,-12.04,-13.43,-15.02,-6.978,0,105.2676,0.010000000000000009,1.0,-81.3618,1.3900000000000006,12.629999999999999,71.59428,-0.4999999999999997,-0.8660254037844388,3.168399999999998,0
0.72,0.73,0.72,0.73,-8.47,0,74.93,167.97,-40.67,0.62,0.87,8,1.7899999999999991,-10.256666666666666,-10.26,-12.04,-13.43,-5.749333333333334,0,71.74090000000001,0.010000000000000009,1.0138888888888888,-67.1671,1.7799999999999994,10.986666666666666,48.696853333333344,-0.8660254037844384,-0.5000000000000004,3.204099999999997,0
0.75,0.76,0.74,0.76,-6.99,0,74.93,167.97,-40.67,0.62,0.87,9,1.4800000000000004,-8.573333333333332,-8.47,-10.26,-12.04,-4.765666666666666,0,48.8601,0.020000000000000018,1.0133333333333334,-55.4307,1.7899999999999991,9.333333333333332,33.31201,-1.0,-1.8369701987210297e-16,2.1904000000000012,0
0.77,0.78,0.76,0.76,-5.99,0,74.93,167.97,-40.67,0.62,0.87,10,1.0,-7.150000000000001,-6.99,-8.47,-10.26,-4.125000000000001,0,35.880100000000006,0.020000000000000018,0.987012987012987,-47.5007,1.4800000000000004,7.910000000000001,24.708750000000006,-0.8660254037844386,0.5000000000000001,1.0,0
0.76,0.77,0.75,0.77,-1.84,0,74.93,167.97,-40.67,0.62,0.87,11,4.15,-4.94,-5.99,-6.99,-8.47,-0.663,0,3.3856,0.020000000000000018,1.013157894736842,-14.5912,1.0,5.710000000000001,1.2199200000000001,-0.5000000000000004,0.8660254037844384,17.222500000000004,0
0.78,0.79,0.77,0.79,4.56,0,74.93,167.97,-40.67,0.62,0.87,12,6.4,-1.09,-1.84,-5.99,-6.99,3.9819999999999993,0,20.793599999999998,0.020000000000000018,1.0128205128205128,36.160799999999995,4.15,1.8800000000000001,18.157919999999994,-2.4492935982947064e-16,1.0,40.96000000000001,0
0.8,0.81,0.78,0.78,8.52,0,74.93,167.97,-40.67,0.62,0.87,1,3.96,3.746666666666666,4.56,-1.84,-5.99,6.197333333333333,0,72.59039999999999,0.030000000000000027,0.975,67.5636,6.3999999999999995,-2.966666666666666,52.80127999999999,0.49999999999999994,0.8660254037844387,15.6816,0
0.78,0.79,0.77,0.78,10.13,0,74.93,167.97,-40.67,0.62,0.87,2,1.6100000000000012,7.736666666666667,8.52,4.56,-1.84,7.095333333333334,0,102.61690000000002,0.020000000000000018,1.0,80.3309,3.96,-6.956666666666667,71.87572666666668,0.8660254037844386,0.5000000000000001,2.592100000000004,0
0.78,0.79,0.77,0.79,11.75,0,74.93,167.97,-40.67,0.62,0.87,3,1.6199999999999992,10.133333333333333,10.13,8.52,4.56,8.387666666666666,0,138.0625,0.020000000000000018,1.0128205128205128,93.1775,1.6100000000000012,-9.343333333333334,98.55508333333333,1.0,6.123233995736766e-17,2.6243999999999974,0
0.8,0.8,0.79,0.8,14.93,0,74.93,167.97,-40.67,0.62,0.87,4,3.18,12.27,11.75,10.13,8.52,10.873,0,222.9049,0.010000000000000009,1.0,118.39489999999999,1.6199999999999992,-11.469999999999999,162.33389,0.8660254037844387,-0.4999999999999998,10.112400000000001,0
0.81,0.82,0.8,0.81,15.45,0,74.93,167.97,-40.67,0.62,0.87,5,0.5199999999999996,14.043333333333331,14.93,11.75,10.13,10.689666666666666,0,238.7025,0.019999999999999907,1.0,122.51849999999999,3.1799999999999997,-13.23333333333333,165.15534999999997,0.49999999999999994,-0.8660254037844387,0.27039999999999953,0
0.81,0.82,0.8,0.8,13.09,0,74.93,167.97,-40.67,0.62,0.87,6,-2.3599999999999994,14.49,15.45,14.93,11.75,8.735,0,171.3481,0.019999999999999907,0.9876543209876543,103.80369999999999,0.5199999999999996,-13.69,114.34114999999998,1.2246467991473532e-16,-1.0,5.569599999999998,0
0.8,0.83,0.79,0.83,15.5,0,74.93,167.97,-40.67,0.62,0.87,7,2.41,14.68,13.09,15.45,14.93,11.409,0,240.25,0.039999999999999925,1.0374999999999999,122.91499999999999,-2.3599999999999994,-13.85,176.83950000000002,-0.4999999999999997,-0.8660254037844388,5.8081000000000005,0
0.85,0.86,0.82,0.82,12.03,0,74.93,167.97,-40.67,0.62,0.87,8,-3.4700000000000006,13.54,15.5,13.09,15.45,7.681999999999999,0,144.72089999999997,0.040000000000000036,0.9647058823529412,95.39789999999999,2.41,-12.719999999999999,92.41445999999998,-0.8660254037844384,-0.5000000000000004,12.040900000000004,0
0.82,0.84,0.81,0.83,9.09,0,74.93,167.97,-40.67,0.62,0.87,9,-2.9399999999999995,12.206666666666663,12.03,15.5,13.09,6.104333333333333,0,82.6281,0.029999999999999916,1.0121951219512195,72.0837,-3.4700000000000006,-11.376666666666663,55.488389999999995,-1.0,-1.8369701987210297e-16,8.643599999999998,0
